30934-海外游戏运营资深经理（深圳）,深圳,"负责求生类产品的在中东地区游戏内活动设计和商业化体系设计，如活跃向活动策划、商城设计、道具定价策略等相关工作；
探索、把控阿拉伯市场用户游戏习惯和付费模式、当地市场规律、擅长捕捉市场和行业热点，能快速响应市场热度变化并针对性给出运营方案；
优秀的数据分析能力、沟通能力，能结合本地化、商业化设计，对游戏商业化进程进行预估和调整；
对阶段性版本的商业化表现进行量化分析，总结优化项目，持续提升达成整体目标；
深度挖掘用户潜在诉求，拓展游戏内商业化空间，持续进行精细化的商业化投放。","本科及以上学历，5年及以上游戏行业工作经验，3年及以上游戏运营工作经验，有国际业务背景优先；
熟悉游戏生命周期各阶段运营工作，具有优秀的团队沟通和执行能力，有FPS、BR游戏品类策划或运营经验优先；
热爱游戏，热爱国际业务，对海外移动手机游戏行业有浓厚的兴趣和深入的了解；具有优秀的细节关注力和抗压能力；
具备优秀的自我驱动力，工作认真、细致，责任感强；有敏锐的洞察力和快速学习的能力；具备创新能力，能接受挑战；良好的沟通协调能力和团队合作精神，心态开放； 
有较强的文字表达能力，熟悉游戏发行流程，熟悉国际业务流程，能独立规划和协调各个交叉模块成员的工作；具备较强的沟通能力和技巧，能够应对跨部门、跨公司、跨文化的合作交流。"
22989-腾讯云网络后台系统开发工程师（深圳）,深圳,"负责腾讯云网络后台系统的开发， 主要包括：
 腾讯云精品网络相关的调度需求设计，开发；
 腾讯云精品网络相关的监控需求设计，开发；
 腾讯云精品网络后台系统的稳定运营和演进。","1. 3年以上工作经验， 熟悉c/c++等开发语言；
2. 有较好的系统分析设计能力，追求简洁之美；
3. 熟悉linux系统， 熟悉linux网络编程；
4. 有过高并发，高可用系统研发经验；
5. 对新技术有强烈的兴趣，动手能力强者为佳。  通过腾讯云技术认证或同等资格认证的优先录取。"
PCG14-应用宝平台高级产品经理（深圳）,深圳总部,"1、负责应用宝平台核心场景的搭建，包括但不限于首页推荐，搜索，优惠，短视频等，设计相应产品服务，满足用户需求，为用户体验负责；
2、优化上述核心场景的推荐策略，通过用户行为分析，算法效果评估，badcase问题定位等方式，联动算法工程团队优化策略，提升分发转化；
3、结合用户画像和用户行为，对上述场景进行精细化的内容运营和功能运营，包括但不限于根据不同人群特征，设计相应的前端体验，以及内容调性等；","1、拥有产品策划和运营经验，积累一定的产品设计和运营方法论；
2、善于数据分析，对数据敏感，通过数据驱动产品优化，能掌握一定的数据分析工具；
3、对推荐策略有一定的了解，有推荐策略相关的工作经历更佳；
4、目标感强，强结果导向；
5、善于沟通，心态开放；"
30361-创新文学/音频平台Android开发工程师,深圳总部,"负责腾讯创新文学及音频平台的Android客户端研发工作；
负责移动端文学音频终端应用版本现有功能的维护及新功能模块的开发；
负责定位并解决现有模块存在的问题；
负责承担版本的系统设计、性能及内存等调优工作；
拥有前端/混合开发技术栈经验者优先。","本科及以上学历，计算机软件、通讯等相关专业；
有扎实的Java语言基础，理解面向对象设计基本原则，能熟练运用常用设计模式；
熟悉Android平台开发技术，包括UI、网络、多媒体等方面；
熟悉Android开发调试工具和性能分析工具的使用；
具有良好的分析问题和解决问题的能力，乐于面对挑战性问题；
拥有技术热情，能够自我学习，对于新技术能够主动专研尝试；
工作积极主动，善于沟通，具备较强的团队协作意识和能力。"
30360-用户增长数据挖掘高级工程师,深圳,"负责QQ平台用户增长的数据挖掘/分析/机器学习模型建设工作；
负责海量用户的画像建设，并落地到推荐/增长策略；
大数据挖掘分析，探寻增长机会，建设实验机制持续驱动产品增长计划；
QQ渠道价值优化，通过画像/特征工程/lookalike等方法提升转化率。","善于在大数据中挖掘价值，优秀的产品/数据sense，逻辑思维；
精通python编程，熟悉java/C++/Scala等语言；
精通数据挖掘、机器学习、分布式计算等相关技术,两年以上工作经验；
熟练掌握spark/hadoop/Hbase/es等大数据处理框架；
熟悉用户画像建设，熟悉推荐系统相关机器学习背景尤佳；
良好的团队合作能力，较强的沟通表达能力。"
30625-腾讯广告KA电商行业数据运营经理,深圳总部,"1、通过MI和DMP工具，搭建广告主人群分析模型，定期输出人群触媒分析报表，指导客户指定投放策略；
2、客户数据分析报表搭建及优化，提升内部运营和客户投放效率；","1、对广告行业数据指标有一定经验，理解业务并能梳理核心指标监控体系；
2、了解人群标签DMP平台使用经验，能通过人群分析寻找业务机会点；
3、有逻辑性、有商业敏感度，能及时通过数据分析机会点和问题点。"
30625--腾讯广告KA游戏行业运营经理,深圳,"负责游戏KA广告主的全栈式运营服务，对其投放的广告消耗和效果负责； 
基于对行业、广告主需求及游戏特性的深入分析，为广告主定制运营全案，并落地执行和迭代优化；
在游戏分品类分周期运营、目标玩家数据定制和游戏广告创意等维度沉淀精细化方法论，搭建运营服务体系；
探索新的游戏广告模式，维系更健康游戏广告生态。","本科及以上学历，两年以上完整过程的网络游戏相关运营经验； 
热爱游戏、熟悉各种品类游戏特征、了解玩家，并对游戏有自己独到的理解； 
对互联网产品数据敏感，具备优秀的运营能力，能对产品与市场状况进行深入洞察； 
有较强的计划能力、多线程产品管理能力和组织协调能力； 
积极主动，团队合作意识强，善于沟通及表达，能承担较强工作压力。"
30629-腾讯广告行业市场经理,北京,"全面负责腾讯广告面对快消行业的市场营销工作。
以市场手段，提升快消行业核心客户、决策人及潜在客户对腾讯广告所提供解决方案、产品及服务的认知度与好感度、开拓潜在细分市场与客户，最终协助销售团队做到业务有效提升。","4年以上从业经验；
有较强的内容撰写能力和项目策划能力，有成功的toB行业市场营销项目推广项目经验者优先； 
具有良好的跨团队沟通能力和一定的媒体、品牌BD合作、供应商资源和合作项目管理经验。"
WXG02-122 微信智聆发音评测高级研究员（北京）,北京,负责中英文发音评估算法实现和优化。,三年以上的发音评估研究工作经验。
WXG02-113 微信数据平台开发工程师（深圳）,深圳总部,负责微信大数据计算平台开发、机器学习算法开发、数据计算性能和算法调优、高性能数据服务框架设计与开发；提升微信大数据平台的影响力和易用性。,"计算机相关专业本科及以上学历，二年以上开发工作经验，有扎实的计算机理论基础；
注重高性能，熟悉常用的服务端程序的性能优化方法，对计算机硬件优化有一定了解；
精通C/C++等服务端编程，有良好的编码习惯；
熟悉Unix/Linux操作系统；
熟悉图算法（例如PageRank、Embedding等）和传统机器学习算法（例如LR、GBDT等）者优先。"
WXG08-121 微信商业数据分析工程师（广州）,广州,"根据产品业务设计、开发合适的数据评估模型及指标体系，及时监控发现业务发展中遇到的各种问题；
对产品业务问题进行逻辑抽象，将现实业务问题转化为逻辑、可量化问题，并进行相应的数学建模；
从逻辑、模型、实证角度，思考提出业务的潜在优化策略，并通过实验等量化评估方式，进行策略的有效性确认；
评估各种策略的实证效果及因果关系分析，支持产品运营决策，驱动产品体验优化及业务快速增长；","本科及以上学历,统计学、应用数学、应用经济学、运筹学等数据科学相关专业；
严谨的逻辑思维能力和扎实的数理专业知识基础；
较强的动手实现能力，熟练使用SAS/R/Python/Matlab/SPSS等相关统计数学软件的一种；
具备自我驱动的研究热情，有学术研究成果发表者优先考虑。"
TEG15-高级计费产品经理（深圳）,深圳总部,"负责腾讯充值平台产品运营，把握关键节点，制定产品运营策略达到业务目标；
负责用户精细化运营，通过用户分层、习惯培养、品牌教育等策略提升用户留存，转化；
协调/推动内外团队、整合上下游资源，确保运营活动有节奏如期上线；
对运营效果进行收集&数据分析，总结经验调整运营策略",本科及以上学历； 至少具备5年以上产品运营工作经验、较强的执行力和进取心、有较强的团队合作、沟通能力和协作意识，抗压能力强； 较强的逻辑分析能力，有独立负责的相关项目经验；具备一定的数据分析基础，领悟能力强， 对产品流程、用户操作流程、及用户需求有深入理解，有游戏运营经验或商业化运营经验者优先。
17467-QQ浏览器高级品牌经理（深圳）,深圳,"独立负责核心业务的市场推广工作，并输出子品牌定位策略；
密切联动产品及运营，制定该业务的全年市场推广策略及打法；
协同市场研究、传播、媒介、渠道、创意等多个团队，确保市场计划高质量落地。","5年以上互联网品牌营销经验；
有独立负责全新品牌/子品牌，从定位策略到策划推广的完整成功经验者优先；
有网感有洞察，善于运用多种市场手段策划有传播力的市场活动。同时具备极强的项目管理能力，能够确保项目按时高质量的落地执行；
基于敏锐的行业洞察和策略思考能力，能够对业务提出策略方向规划建议；
有良好的沟通能力和团队合作精神，善于驱动跨部门配合协同取得业绩；
具有很强的自驱力和责任心，学习能力强，有良好的抗压能力。"
RP-HR客户高级经理,深圳,"职责：
1，参与HRSSC客户链接体系的设计及落地，建立有效连接客户与业务交付的链条，建立与客户的深度合作关系，解决及执行过程中的各种问题和挑战；
2，负责HRSSC常态业务全线程管理，包括不限于链接触达，需求接入，解决方案生成以及工作交付；
3，负责HRSSC新业务接入体系的完善和落地，负责HRSSC新接入业务的评审组织、计划排期、人力部署和培养，以及负责新接入业务的孵化，支持运营团队完成业务的移交、SLA的签署、流程及SOP的落地；
4，负责组织对业务流程进行效率、质量、遵从度、风险等要素的盘点分析，推动业务的持续改善； 健全数据的收集、预警和分析体系，为业务发展和改善提供客观建议。","1，本科及以上学历，5年+工作经验； 
2，具备良好的沟通能力和团队合作精神，以及出色的逻辑思维及数据分析能力；
3，具备咨询公司或同等的深度诊断分析客户端复杂问题的能力，以及客户体系优化升级项目经验者优先"
29316-员工关系经理（深圳）,深圳,"负责搭建事业群员工关系管理体系，制定年度员工关系各子模块工作规划；
负责完成相关运营工作，包括事业群各类关怀活动的组织策划、沟通平台的搭建、员工满意度调查等；
根据集团劳动关系管理政策要求，负责事业群内各类型用工管理、离职管理等工作；
负责事业群内各类特殊员工关系个案的处理，推动事业群内和谐员工关系的建立与不断优化；
做为事业群员工关系的专家，对HRBP以及部门管理干部进行专业赋能，有效前置风险管理和提升员工满意度；
与团队成员开放合作，主导员工关系类重点项目性工作。","大学本科以上学历，人力资源管理专业、心理学专业或法律专业优先；
5年以上大型企业员工关系管理实操工作经验；
熟悉国家和地方性相关劳动法律法规，熟悉企业劳动关系管理实践；
优秀的口头和书面表达能力，良好的沟通、组织、协调以及资源驱动与整合能力，有很好的主动沟通意愿及亲和力，善于倾听。"
RP-高级数据库开发工程师,深圳,"1、负责底层数据库建模，为微服务提供高效的数据库模型；
2、负责数据库总体设计、关键技术研究和实现，提供满足业务需求的数据库领域设计方案，并负责数据库重构演进规划；
3、负责及时排除数据库故障，并对数据库进行持续性能优化，确保数据库系统的高效可用、稳定、安全运行；
4、负责研发过程中关键设计的把关；
5、制定和实施数据库设计、开发规范。","1、计算机相关专业本科及以上，5年以上相关经历；
2、熟练掌握数据库建模的相关理论、方法及工具，至少有两个以上系统数据库建模项目经验；
3、熟悉常用的关系型/非关系型数据库如oracle、sqlserver、mysql，Redis、MongoDB、Hbase等
4、精通MySQL/Oracle的SQL开发和SQL调优，具备业务抽象、分解能力； 
5、熟悉MySQL/Oracle数据库体系结构和工作原理，熟悉常用存储引擎如InnoDB、MyISAM、NDB等的功能和特点；
6、熟悉MySQL数据库分库分表策略、数据迁移方案，具备大型数据库高并发量设计经验，熟悉分布式架构设计；
7、熟悉MySQL常用高可用方案(Master-Slave，MMM、MHA)的使用，熟悉MaxSacle、MyCAT、TDDL中间件的使用；
8、熟练使用kettle等etl工具的使用；
9、熟悉Linux/Unix操作系统，熟悉Shell脚本编程及常用Linux系统管理命令；
10、工作态度认真负责，能承受一定的工作压力，具有良好的沟通能力和团队协作能力；
11、有PeopleSoft数据库开发经验者优先；
12、有DW/BI相关实践经验者优先；  
13、具有JAVA或者go开发经验者优先。"
27016-高级商业分析经理（深圳）,深圳总部,"分析行业发展趋势或创新的物联网、云计算等相关产品和技术，并确定腾讯基础技术的潜在机会；
监测行业竞争对手动态，深入了解企业客户、消费者对特定技术驱动的产品的需求，态度和使用情况；
与全球其他技术公司和高校开展外部合作，帮助加快产品创新和科研进度；
在企业和业务部门层面对广泛的管理问题提供战略分析和建议；
参加年度和季度业务规划和审查；
促进业务部门和职能部门的关键举措的执行；
工作地点：深圳，按需要前往美国等国家。","优秀的学术和企业内部学习工作背景，理工科优先；
对于物联网、云、基础计算平台、人工智能等技术产业的兴趣及强烈的学习热情；
正直、诚信和自主力；
愿意投入类似“创业团队”环境；
良好的沟通和人际交往能， 有效团队合作精神；
英文水平可以工作使用。"
27016-商业分析经理（深圳）,深圳总部,"负责“AI+行业”的战略分析和行业洞察，对游戏、泛娱乐、物联网、云计算、5G等相关领域进行行业扫描，寻找AI+的潜在合作点，输出行业洞察和战略分析报告；
关注技术发展趋势和竞争对手动态，深入了解企业客户、消费者对特定技术的需求、态度和使用情况；
在企业和业务部门层面对广泛的管理问题提供战略分析和建议；
促进业务部门和职能部门的关键举措的执行。","对于技术有一定了解和较强的学习兴趣，熟悉AI、物联网、云计算、5G、游戏AI、虚拟人行业者优先；
良好的逻辑思维能力、分析/解决问题能力，愿意投入类似“创业团队”环境；
良好的沟通/抗压能力，自我驱动，能跟各个团队保持良好的沟通协作关系；
正直、诚信和自主力；
理工科优先，英语可以用作工作语言使用。"
30361-天天P图美容美妆产品策划,上海,"1.关注时尚、了解用户，能从中提炼能力，运用于美容美妆产品功能设计，并跟进功能落地；
2.对效果好坏有敏锐的洞察力，并能科学评测出效果好坏，给出优化方案；
3.定期进行竞品分析、用户研究、数据分析，用以指导产品方向。","1.本科及以上学历；
2.3年以上互联网产品策划经验，做过美容美妆类产品优先；
3.熟悉市面上的美容美妆软件，了解行业趋势，对效果吹毛求疵；
4.具有较强的技术理解力，能快速捕捉行业新技术；
5.具有专业的数据分析能力，以数据驱动产品；
6.喜欢拍照、擅长P图、追求时尚；
7.极高的工作热情、良好的沟通协作能力。"
